address,balance
0x0B68a4B610B8F8e41B319aa5F2a678B42421993c,501954342786784600000
0x0C578fc9b1E846849055f07d63e7AEE0ba56A75F,13054711155303656000000
0x0C7a24097cE0c51109D4D40BBb8D99b91F735e4B,1874666873697416500000
0x0CA78eD9F48dFC2dBBFF9E1D55227e52359776f0,27187298552254470000000
0x0CE9111D4454E3CFD2BeF6FE46cd2C750C41cbA0,155966642821716740000
0x0D884e8538c6cCf5791806A4D744B281461163D6,313714019266562500000
0x0E1C7FbC490b5731b95c6947ECf5296978896f96,433082296523055370000
0x0E1c26B052d182a9f51790C83B154235818C44E6,54118176602450256000
0x0F0fa4EdEC62Dc8B86889615D2Eb97010c0e879c,2523815261144913300000
0x0F4B0aE3b27F404D6AEDc3dd08320179070A38fd,9684377428600323000000
0x0F715b8Cf8D0ee24414F47a3D174047B5613E867,302057574527055560000
0x0FeB0f31D67ADBBc950Ac0c5266490A9a9735a49,215832504374643750000
0x0FeaA9d8eBA3f9D220207ED4830a02D58EEC928E,16865620688303617000000
0x0a7905753607a6E112127Ab2D92e1c6021AD9cA5,9806822753011962000000
0x0a835b0E8a9356926a30b905580473624A8A443F,859290396755468400000
0x0b3bbcfFe4bFE08cc923E1DA8131Abb2De10e0EE,1749718446148044700000
0x0b441F4C9798DC7DCF4a5F5Ab4EA53F71AB39A7e,185743716882034600000
0x0b5c60460E7D673a99cdD89940FB49268275587a,1397575161151382400000
0x0b7cA1d5fb2De11E2863A7dCCfe0d3415Fc156FD,95848034234819900000
0x0cF598C6C6F7dD5f9646D9489e5BF857D2A5784d,308574921123114700000
0x0cFB145978bBa35d80f5D0641a5165755ebe8b40,1114046961389611800000
0x0d5EF14C643aC844fd2e09d705A7dcE3F716749a,565821886892369900000
0x0d7Fce3461404033bd8455Ea445d0C2F9DD138d7,2163888137886659000000
0x0db19222F6f894bE3FDDa1Dc89fB4Bd97bECFcF5,340572477742459060000
0x0e1fB294F72D15309aF6B7bE725ca7EC0f901F32,16149069592269830000000
0x0e42d7887e4Dfd681Fe295BeC85729C0420E0ae0,742377019829708500000
0x0e9EDBc731E1059f24598B6e55FBcF559c01236e,11484908270118328000000
0x0eD3398aA90118344229E8AE935EA7fB22A946E1,755783053812403800000
