address,lp_balance,mpx_balance
0x41117551E82bC1eeB196150c4F476158F7757aEE,44767,70708
0x02aFE5211cD9731B2E65BFc7857e73BdA234F6D3,57750768588767404032,91214237090134196224
0x6845E71056745b731664351D11cEaba04ecD8DAC,873348899105601093632,1379407677024757874688
0xDB3024b600b17Aecf8Cba347D48a29d5Cf1018de,518969,819684
0xB4C0dEeEa3Bf21DBC47A8ff22183eE7f13117C69,2310142010936227266560,3648745224464446783488
0x9531cd30cF15cA2e6fC6A230d42D355c968a5e18,353663656355811968,558592749314114368
0x7c9597508Ea3a27D53600b180E23f4913a60Fd31,2703086182952849637376,4269379438438907904000
0x9324829cCD07B08C8D27096308F37d7cC6EA6edF,259316156150320736,409575940310484864
0xe941EB810651E784a2DA10b37d4D94b33D245De2,15797260291551447220224,24950924131742206918656
0x02B2D6a3298a4B20aa4F7A0a57e920E9FC9aD864,835724001256297988096,1319981171771528445952
0x8eaE6474F8FeE5D15d2477fB05B59cdf0859878e,151641,239508
0x3069c730E9B1866084CDB38acf593Cd8e924b185,160223402044654583808,253064257647500558336
0x86222E0dc1d1A9813B377FC4eE56D742128819C2,9367516576495740911616,14795489286707719700480
0xa455c06929F5b7ca5f1F541e09ff51Cb71CC4b80,15994820597917495066624,25262960024334242938880
0xCB6586874cc04B01Cc4fDB777dE502cEa7b3D6c1,130966039937052049408,206853825663157600256
0xd96A6A5F1e639545388c6f4271a4B2BAf9b0D781,292732811844828790784,462355753112337186816
0xC9068afe4a4D9AEbBdDd64Cf69062Cb87dD8DcB1,4622,7300
0x3f6E4667Fec54733Fb3B15993B9Ce96B69B65cb3,176487175371952324608,278752014061964591104
0xC2D4d30A60206021D777579752F3C7873C7DBe75,227409205361910251520,359180625318895419392
0x1c7cFe3904178C91E4755F118DB3e4F81eDf9281,214354065166644248576,338560732595120504832
0x16d0ab4C477a06F646A7125f8Ea92c476a660D95,350417942677785870336,553466318892688867328
0xdf28efD45E000D6E1E033f44037da1b69EB165Ca,351794970838717,555641260910264
0x989b1D5211FaE2b1D9B000aAD488ebFE27E42867,6525737745247104000,10307052259712817152
0x54454066688e818e38986d6d142F677501Ce8ef2,146115447945909888,230781501911676064
0xcDEcA9c2334a35bA1cdDe548BD3196850eEd049f,8985521514395123,14192148603749546
0xF969E21B1682B042246fdB5BB3Af5F44006F5040,1030260981455532457984,1627241883071274549248
0x94E08736426948C5f463ac243416f0473F680b2B,4261650783573183037440,6731048511860112359424
0x26455E9Ead4192942EB84c907F72A634Cfae92Ca,1389095411459251240960,2194001591630868774912
0x31E07e1C36D10Ad25D8e03E064a5BA4d03482826,34200644530042617856,54018081058153611264
0xf56036f6a5D9b9991c209DcbC9C40b2C1cD46540,2331694160008427864064,3682785686319978774528
0x1B560c8157F8baCDD7B39fdb5fFF10938acf2420,143146156389341593600,226091665383972569088
0xD6d29cE0996F3bE82f171Af75c64ecd61549112A,3536294777055252840448,5585387659717822644224
0xB6dF546F1154169bee7096dA5954b90E22D50970,11583919130585186304,18296178073994534912
0xbEE2D469AACB46251aE33Cca91F482e26c971dFF,27025879403130138624,42685924909507796992
0x917cf29fD923a7fc63541d01D952b50D79D87782,1370294719724571852800,2164306908854315909120
0x74A5B346F2cccf06e2127EB6680389E7D8953c80,1238232198995,1955721250673
0x39ea1A9F8caa308EBB3F9da4829f1fFf7b74B72C,3542172799715743744,5594671680791085056
0xB3BBFfb97114D79DF7Bd45808078A56053e34586,14738089774390246899712,23278021189806072004608
0x95859ed507ED13535de6Fe0551f7363D4CB878C3,586957451526647840768,927067768164491460608
0xfd6A5a3828Fb6b8a30B0eeE74b6F2A44f16eE7e7,562654,888682
0x7532A096bE1a39A87aF68e3b27e06dde7065E87F,4443336620506613809152,7018011532629132705792
0xbb698D52fE043c45E4C4811995Ae67ABc5758b71,1912478211905623687168,3020656613120908197888
0x2B95425A4d76d01c198262F4568aCd7319D8f194,224155238748068413440,354041159828628635648
0xf26bB15d228D06678fd884C02EB201E36B340504,900389,1422116
0x131fBae075CA53Bd5a60075D08314E684CcA2543,6165261857212116,9737699956358446
0x1e8C4DB6fA2E0FcBe832f06D70720A0272a0C06d,5086991012178258034688,8034629072459810209792
0x4A93C3C014DA94070dF96352d3E6795E0b682022,1608906350213055119360,2541181162958585593856
0x1Cd732e7F9312b6Dafd316fcFF920a7D546B0A9b,160708297069076676608,253830123294006706176
0xbFdd62139F97163D83Cf5CB7F940564b56c6fA5D,36221185842244661248,57209417533932650496
0xd1F4cF428835a775916Dd767e11553b5649EAF87,7886757572605,12456709974246
0x76C972cC1679ca6701834f4DeBEA9dF420F1c0d1,125427600491845664768,198106158038822879232
0xd4AA27c5080bA5C80d35D70dbef8D07733916002,62895,99339
0xB44262A4B5c791Ca2a425612694C5f2aE1eFAD26,247433290335075500032,390807592005024415744
0x89Cff61026f6743b8d25ae9B253582083136B1C4,2252648836635456962560,3557937843716359716864
0xb09AC13dD479123D2a00fDD0a78F2c3EB20b9027,13318,21035
0x4867DCA57c00641332CdB96A4746b3EB29360618,380330051675123264,600710888421755648
0xd7D6fb4AE12221bC812F064e058CAb20D9B0c2a5,2294626987580893,3624240078414015
0x1EBe7F849436EF8ca3a772d65F32001bc406B2FC,302467037189645139968,477730439202031403008
0x6FF1134EB90f4bD4197e1E07C5E36C9078F03099,2370492746753910505472,3744065970143819726848
0x5435F60E625560E899f6D5829ceDa7C40224de86,487752958063932866560,770379599188766883840
0x27e9531d81E0D89CE04394E233d406256d66d36a,115171451665838669824,181907121844020445184
0xF610B221F20c44653987165cfEA3018442647a41,79950794377205596160,126277985420360794112
0x329b0F4597B15cd81D6F62DcF2Ad6B3fE1D74d87,11062156249268343537664,17472081627760868458496
0x4D4F26bFF1022EACDc8369AA12BF800211BE86aC,780699761721855836160,1233073340876007931904
0xEB1B7C571ACBd461db3386eE6A3FBe4D375788E9,1311861032644518871040,2072014038687954763776
0xbF4Ec2e01766e09cE07dE92A3b8e0A2285064DDe,967599750505072164864,1528271834430456463360
0x6fb737D1Ebb73cda6CFA36Fd16D9273065D1b084,1613457743539471122432,2548369844254281826304
0x0A7418ed592907CfdFc454Ce197b668749a9994B,1502441510107951661056,2373025666427255259136
0x3Ad03f6408d8F4158F9FE26567D4E98bE0aB92c6,1180090530220007620608,1863889607734957178880
0x99cAB220Da9194DE4F59e2f8155D48C54E8d4E07,126345532549703827456,199555982420457062400
0xbef1a08EA6c94D6aEe3DE57424495e19E586aa62,3820102532924858433536,6033646766297820692480
0xAa4D15bbb94b36c9f6c62b336833bD3aa030ce56,247388677368420958208,390737128220434825216
0x3C5971d05E06375581718dAB065213CC97184dbA,6232079829394556715008,9843235354509261668352
0x0fDDf5E14CC54298bc4c8aEcfc4273914727e21A,6118876873307652,9664437365700792
0xAdffC760EDF4f6146dce89022B5AE7EbB7edD2B9,32027928639217106944,50586393009004306432
0xa3D15d2EFdD2A93e5A4BF07D69efE4A142A347f6,2713221724410944684032,4285387981774128676864
0x32060732EAc815F70899AbE22583f56511cDe960,4363972648976815,6892660402376960
0x65fbED0c8ba50993569298E2a1e61ce7Db87B6B1,1600665325178129,2528164906555936
0xB12728628cA10cf6A582C7162877a4233288DEe9,983688384744125696,1553682968062068736
0xE20AA75c495bB17346E7CCdFD138187887c8edC6,6924575523860429,10936995108750748
