address,bsc_mpx_balance,bsc_thena_lp_balance,bsc_thena_mpx_balance,bsc_fsmlp_balance,fantom_equalizer_lp_balance,fantom_equalizer_mpx_balance,fantom_fsmlp_balance,fantom_fvm_lp_balance,fantom_fvm_mpx_balance,fantom_mpx_balance,fantom_smpx_balance,total_mpx,vefvm_balance
0x0E1C7FbC490b5731b95c6947ECf5296978896f96,0,0,0,0,0,0,0,0,0,52435059514091,433082296523055366144,433082348958114906112,2287824259872663552
0x0E1c26B052d182a9f51790C83B154235818C44E6,0,0,0,0,0,0,0,0,0,0,54118176602450255872,54118176602450255872,285887609201854752
0x0E8f034a1523F58A9B1c41eB96c38Dcb3dfBEB10,0,0,0,0,0,0,0,0,0,770021205579747328,0,770021205579747328,4067755702766172
0x0EA55f10FD712d1651949B30AD2178d07E8D24e6,0,0,0,0,1312979215521211219968,1976869227332303323136,0,0,0,134622537345325940736,0,2111491764677629181952,11154280693665533952
0x0F0fa4EdEC62Dc8B86889615D2Eb97010c0e879c,0,0,0,0,0,0,0,0,0,0,2523815261144913281024,2523815261144913281024,13332443115668574208
0x0F4B0aE3b27F404D6AEDc3dd08320179070A38fd,0,0,0,0,0,0,0,0,0,0,9684377428600322785280,9684377428600322785280,51159216431279374336
0x0F715b8Cf8D0ee24414F47a3D174047B5613E867,0,0,0,0,0,0,0,0,0,40893324341754,302057574527055626240,302057615420379955200,1595665909960387072
0x0Fb7F1fb311079824Efcc0444F80a0D2dA577eBD,0,0,0,0,0,0,0,0,0,3484394842546864640,0,3484394842546864640,18406852809706356
0x0FcF993690A7C27Dcbd1bdc7873dEbA7b54b2ac1,0,0,0,0,0,0,0,0,0,5264089294774225338368,0,5264089294774225338368,27808363060035977216
0x0FeB0f31D67ADBBc950Ac0c5266490A9a9735a49,0,0,0,0,0,0,444134713596811608064,0,0,53,215832504374643720192,215832504374643720192,1140168470881593728
0x0FeaA9d8eBA3f9D220207ED4830a02D58EEC928E,0,0,0,0,0,0,3498191320536274432,0,0,370062214611872064,16865620688303615377408,16865990750518227501056,89097195714977988608
0x0a11acDd1fFBDb8ADfc34a84f1836F360e6f3CCE,0,0,0,0,0,0,0,0,0,6973918734535883776,0,6973918734535883776,36840800613637432
0x0a3e3eb9c2Fd9FBAB3e0A3F92B18F069EF7641C3,0,0,0,0,0,0,0,0,0,627,0,627,3
0x0a4ef0c93aDfB4DA742bB4f425D68BDa5f2A8829,0,0,0,0,0,0,0,0,0,8555588184039783,0,8555588184039783,45196213265249
0x0a7905753607a6E112127Ab2D92e1c6021AD9cA5,0,0,0,0,0,0,43139030349956117430272,0,0,0,9806822753011962478592,9806822753011962478592,51806052730128441344
0x0a835b0E8a9356926a30b905580473624A8A443F,0,0,0,0,0,0,0,0,0,0,859290396755468484608,859290396755468484608,4539333964319329280
0x0aa1bBE8FF9653C4B3a8751c172cE670853BcE96,0,0,0,0,0,0,0,0,0,16749,0,16749,88
0x0b3F0255a2B74392A60A1F4EdAD1345c2438D02e,0,0,0,0,0,0,0,0,0,10291862379502790656,0,10291862379502790656,54368349316805112
0x0b3bbcfFe4bFE08cc923E1DA8131Abb2De10e0EE,0,0,0,0,0,0,0,0,0,97220288976338848,1749718446148044718080,1749815666437020975104,9243670959139092480
0x0b441F4C9798DC7DCF4a5F5Ab4EA53F71AB39A7e,0,0,0,0,0,0,0,0,0,0,185743716882034589696,185743716882034589696,981219813331013376
0x0b5c60460E7D673a99cdD89940FB49268275587a,0,0,0,0,0,0,0,0,0,0,1397575161151382355968,1397575161151382355968,7382906198716525568
0x0b6B49b3952A8aba9be7ACcBc383f835B8a8044a,0,0,0,0,0,0,0,0,0,233989,0,233989,1236
0x0b7cA1d5fb2De11E2863A7dCCfe0d3415Fc156FD,0,0,0,0,0,0,0,0,0,0,95848034234819903488,95848034234819903488,506332014017810560
0x0bEbD0898FAB4784EA207B3A33B3d167C70d8f75,0,0,0,0,0,0,0,0,0,25022660366819844096,0,25022660366819844096,132186060160353616
0x0c10e56b814f56273178b6fAd9597C70D3fa6E1A,0,0,0,0,0,0,0,0,0,789643132604241408,0,789643132604241408,4171411556624188
0x0c4Ab4bdb6dcE11E314519F2cE0Ff24B59a4E3F4,0,0,0,0,0,0,0,0,0,91632613505675755520,0,91632613505675755520,484063404288258112
0x0c90DD5C36272d166cFa20253511A12F0fa78478,0,0,0,0,0,0,0,0,0,73766318792988499968,0,73766318792988499968,389681948715073920
0x0cF598C6C6F7dD5f9646D9489e5BF857D2A5784d,0,0,0,0,0,0,0,0,0,0,308574921123114713088,308574921123114713088,1630094581855221504
0x0cFB145978bBa35d80f5D0641a5165755ebe8b40,0,0,0,0,0,0,53979058292049264640,0,0,0,1114046961389611778048,1114046961389611778048,5885124782933782528
0x0d2cD16375B2053fEfD02Fe7f4e23156212cd416,0,0,0,0,0,0,0,0,0,26023070204684048,0,26023070204684048,137470879323238
0x0d4A8949C2400A8D51322436F935e5863edD2101,0,0,0,0,0,0,0,0,0,54,0,54,0
0x0d5EF14C643aC844fd2e09d705A7dcE3F716749a,0,0,0,0,0,0,0,0,0,0,565821886892369903616,565821886892369903616,2989041328314413056
0x0d6b51183f446fc35E89C895420a967ef39F1506,0,0,0,0,0,0,0,0,0,999999999999997568,0,999999999999997568,5282654131198319
0x0d7Fce3461404033bd8455Ea445d0C2F9DD138d7,0,0,0,0,143749719076128686080,216434801647986409472,209076886714290307072,0,0,0,2163888137886659248128,2380322939534645919744,12574422810118856704
0x0db19222F6f894bE3FDDa1Dc89fB4Bd97bECFcF5,0,0,0,0,0,0,266199770952611135488,0,0,0,340572477742459060224,340572477742459060224,1799126606518653440
0x0de773746a38BB1Cea123791d8ae6079D547E614,0,0,0,0,0,0,0,0,0,108558967918809645056,0,108558967918809645056,573479480354927040
0x0e03a53d5d13a4AaF563EBca4E1F6a5CD23E5AF5,0,0,0,0,0,0,0,0,0,3828560630164713,0,3828560630164713,20224961629483
0x0e1fB294F72D15309aF6B7bE725ca7EC0f901F32,0,0,0,0,0,0,33817557435636403666944,0,0,0,16149069592269829439488,16149069592269829439488,85309949196613566464
0x0e38E2Be12A5Cd69Aec05a198Fc3620cCa1FE389,0,0,0,0,0,0,0,0,0,51300000000000000000,0,51300000000000000000,271000156930474400
0x0e42d7887e4Dfd681Fe295BeC85729C0420E0ae0,0,0,0,0,0,0,0,0,0,0,742377019829708521472,742377019829708521472,3921721030710115840
0x0e5FFd7bFb340b7Fc8e69A809dB56803aE91b2C6,0,0,0,0,0,0,0,0,0,36164,0,36164,191
0x0e979995e1dFB7546904E087c712DA6dd117F066,0,0,0,0,0,0,0,0,0,458361802135078464,0,458361802135078464,2421366867632384
0x0e9EDBc731E1059f24598B6e55FBcF559c01236e,0,0,0,0,0,0,7449178032483195682816,0,0,0,11484908270118328336384,11484908270118328336384,60670798119574487040
0x0eD3398aA90118344229E8AE935EA7fB22A946E1,0,0,0,0,0,0,0,0,0,0,755783053812403798016,755783053812403798016,3992540471511786496
0x0f504b06Bf14f9584bAF9DCBb3CAca645b136bA5,0,0,0,0,260814641691539275776,392692003881439330304,0,0,0,0,150286340203573051392,542978344085012348928,2868366792531919872
0x0f526e6F7ECcB98B4D00A0d26427fB041C147E42,0,0,0,0,0,0,0,0,0,0,123128029332578762752,123128029332578762752,650442792820056576
0x0f6cb8226678127564D576F53E30Ec0E7e8DD5B6,0,0,0,0,0,0,0,0,0,500936623896664832,0,500936623896664832,2646274925696262
0x0fA8e13A9811Ef6a236df382d639e41AC767f219,0,0,0,0,0,0,0,0,0,9554,0,9554,50
0x0fDDf5E14CC54298bc4c8aEcfc4273914727e21A,0,0,0,0,6118876873307652,9212803412029168,0,0,0,37696386860971073536,458791464512929988608,496497064177313054720,2622822267204126208
