address,balance
0x9c4b88fBE06b6B1E461d9D294ecB7FB0c841dB4f,67129188202230645000
0xd7e2f547963d3AAE52C0e5d880788367bC9Ae81C,44848342666809170000
0x3BEf924777E552e5A5a5A3f3eDEdEa737DE11597,6566905069783099000000
0x779c1305d19A61ce5C460Eb8e854e27491013a56,8576056067376713000000
0x4715cE8792E5D4423c8a14C4B6fDD37548EB9a8a,850894089911634800000
0xFf6D92b590231aa90fcD82413f1A25466636c5b9,40937875916514450000
0xf27bD82093cFb181Be2602A653cb453087c872B8,11436152425865920000
0x0FeaA9d8eBA3f9D220207ED4830a02D58EEC928E,3498191320536274400
0x4CA8ad3a20848aC6F5Dbb14cc02FCe8c037d11DA,10330221213661706000000
0x106cF9800E1A7a1eEc7f4c10BDe50A360D2c6283,617918924819597600000
0xfD3052E6f192B4a059411D243088518c4F57a84d,71674448689549156000000
0x3967D78660bCBc95c625d58A40C42Ce10bd905D6,50009880377937470000
0x23aE07851bd347cC1B4550253940A2774d1E76Cc,353706614810782200000
0x489476393b55743F3A09A54b82828C813A68751E,32534242702930420000
0x5E05BD32098593d1272d70D266f3F9B790010c45,4040579527228129000000
0xE66b9c6b6363195E75F806bf5519e578F02114cE,64792040861179500000
0xb8829168d3D3269bbd32acd313AC916e2C79695D,2732276397635322500000
0x7459f0b443C78481f4242EDe891fDAaF70ae8A23,101920055214299790000
0x5b13063f510EAd1331267259BeC279D95348D74A,1310429786727785700000
0x31155a472fBe0e3990c692C8a1c1c1BB6d4548D1,218481806715182200000
0x046fD98Cfd2A3a51875f5a0b6fEea5ABAc442913,3287793184417645000000
0xBA9a4BAc014fFc8A5a1d94AAbc127172ADD59aDC,66760938414783690000
0xe17A3d8399ebc55CC9C6b5719687B70D5fbf44a4,945892435092553200000
0x015Cdff2E472F657E8c34B4e88fc60f16f7610ad,698745037507838100000
0xdd97E7Ffb2aE6D44c5B864aa79Cc7FdC3AA97f1F,119148011529264070000
0xE3053cDe2124eAA6103DddE8E5c6BD36c66F716E,17248505977611913000
0x6c7286c5AB525ccD92c134c0dCDfDdfcA018B048,6532047834226786000000
0x208A70c70ad1727644aEe4a0f889ffB48c070EA1,405800058612299300000
0xC79e212ABAb3CB074554e1A10b58f0053c53DEa3,480274604318880560000
0xd3b7949c45780Ba6E8E59e8f0A05Af26D12c41bA,15616512530676791000000
0x887e8b6119B38C60cb03CAb204C0A704c6E0A473,3616942495213342000
0xa13c2DEF62c36697407fBe7d574e946bf60d7350,206731683809292030000
0xef6A22aF4F9e13bfdea28f10a1cAc1aB96387Dc7,287417519292580100000
0x5B3067C5e26fEC823d6fBf8F315e43632658D2F6,2540170441358864000000
0xD18679748A48c7C6ef4C858892409A482476b68b,998455869755277000
0xbE14555c26aa4d2C05d50FA4d7C5366A3f909F3B,166338137867846600000
0x2b4A694dc834b8ffBdc0bf082854De2ED662BF17,246345263318113060000
0xb2FDdb2027d163A9A5F81784D94c1b632830c605,184622259680502020000
0x7c75d096fFE6AD3f01C6B222A9A4144913cC2e7E,162446764371109700000
0x00ea67d1E6caB97994e75C800bC65bF632598802,1422188321545455700000
0xdf4B2C9A29fa5Dd9bAD1EB50998aE66eF1fc6a4a,2493908606866197300000
0x8016aD7A57Fd087679c57E766D0cC896BF43615D,1390514327530149800000
0xe9d3f818869Fe6b49B4af1cc20128E0390dFAFf6,138784501374475600000
0x7042827a414A1C80784b40598CA6CA320199EDcD,1669522512884625300000
0x21240b84e8457deC1Ac30D3f28Ef42C3eFeE636c,262600257524772800000
0x6DF734ed3d786cfd240E9c7Ca1D9148b1571BD94,831180095426443900
